"year","male","female"
"1970",1.87,1.92
"1971",1.90,1.96
"1972",1.83,1.91
"1973",1.78,1.86
"1974",1.78,1.87
"1975",1.66,1.77
"1976",1.57,1.68
"1977",1.53,1.64
"1978",1.49,1.60
"1979",1.54,1.65
"1980",1.56,1.68
"1981",1.52,1.63
"1982",1.51,1.62
"1983",1.51,1.61
"1984",1.55,1.66
"1985",1.62,1.74
"1986",1.69,1.80
"1987",1.73,1.84
"1988",1.84,1.95
"1989",1.89,2.01
"1990",1.99,2.12
"1991",1.98,2.10
"1992",1.93,2.05
"1993",1.83,1.95
"1994",1.76,1.87
"1995",1.61,1.72
"1996",1.49,1.59
"1997",1.42,1.52
"1998",1.40,1.51
"1999",1.40,1.50
"2000",1.44,1.55
"2001",1.45,1.57
"2002",1.53,1.65
"2003",1.58,1.72
"2004",1.62,1.76
"2005",1.63,1.78
"2006",1.71,1.86
"2007",1.73,1.89
"2008",1.76,1.91
"2009",1.79,1.94
"2010",1.83,1.99
"2011",1.76,1.91
"2012",1.77,1.91
"2013",1.75,1.89
"2014",1.75,1.88
"2015",1.67,1.85
